customer_ID,shopping_pt,state,homeowner,car_age,car_value,age_oldest,married_couple
10000000,9,IN,0,2,g,46,1
10000005,6,NY,0,10,e,28,0
10000007,8,PA,0,11,c,43,0
10000013,4,WV,1,3,d,62,1
10000014,6,MO,0,5,d,32,1
10000016,10,OH,0,6,d,24,0
10000019,8,OK,0,7,d,21,0
10000023,7,PA,1,2,f,63,0
10000025,7,OH,1,15,d,52,0
10000026,4,OH,1,5,d,59,1
10000027,6,IN,0,17,e,50,0
10000028,6,FL,1,1,d,44,0
10000031,8,OR,0,15,e,25,0
10000032,7,OR,0,12,e,29,0
10000033,7,WA,1,8,d,30,0
10000034,7,OK,1,8,g,61,0
10000036,11,FL,1,26,c,60,1
10000037,6,PA,1,1,g,58,0
10000038,7,WA,0,7,d,65,1
10000039,9,OH,1,4,f,49,0
10000040,4,KS,1,6,e,26,0
10000041,8,PA,1,14,d,56,0
10000042,4,FL,0,9,e,65,1
10000043,7,NY,1,3,f,51,0
10000047,8,OH,1,6,e,24,0
10000048,9,OH,1,10,h,52,0
10000049,10,NV,0,17,c,43,0
10000052,8,ID,1,8,d,24,0
10000054,3,FL,1,7,f,75,1
10000055,7,CO,1,9,e,75,0
10000057,8,CT,1,8,e,56,0
10000059,7,NY,0,5,e,42,0
10000060,9,CO,0,11,f,41,0
10000061,6,NV,1,14,f,43,0
10000062,6,FL,1,2,f,43,0
10000063,7,CO,0,2,g,21,0
10000064,4,PA,0,13,f,18,0
10000066,3,AL,1,5,f,68,0
10000068,5,NY,1,6,e,25,0
10000069,6,AR,0,20,f,51,1
10000072,7,NM,1,2,g,26,0
10000075,5,MS,0,4,h,24,0
10000076,8,CT,0,14,f,27,0
10000077,9,KS,0,2,e,32,0
10000078,5,FL,1,8,d,52,1
10000079,7,NM,1,2,e,38,0
10000080,4,FL,1,2,e,43,0
10000082,9,NY,0,1,f,24,0
10000084,9,CT,0,1,e,22,0
10000086,8,MD,0,6,d,39,1
10000088,3,RI,0,9,f,59,0
10000091,10,FL,1,1,e,51,0
10000092,10,NV,0,8,g,39,1
10000094,9,NM,1,1,g,60,1
10000095,3,UT,0,13,f,23,0
10000096,6,OR,0,1,h,55,0
10000097,8,NM,1,2,e,43,0
10000098,3,ID,0,2,f,28,0
10000100,9,FL,0,1,e,23,0
10000103,6,PA,1,1,f,75,0
10000104,4,PA,1,10,g,71,0
10000105,8,ME,0,11,g,20,0
10000107,7,PA,0,12,f,41,0
10000108,9,TN,0,11,g,21,0
10000111,6,FL,1,10,f,22,0
10000112,7,TN,1,3,f,41,0
10000113,5,KS,0,15,f,55,0
10000115,6,CO,1,11,g,37,1
10000116,9,OH,0,14,e,25,0
10000117,3,NY,1,13,e,70,0
10000118,7,NY,0,3,e,25,0
10000121,8,WA,0,4,f,39,0
10000122,5,UT,0,6,d,21,0
10000123,7,WA,1,4,g,37,0
10000124,4,AL,1,19,d,61,1
10000125,11,FL,1,1,f,52,0
10000126,9,PA,0,8,f,38,1
10000127,7,FL,1,1,e,71,0
10000128,7,ME,0,18,c,24,0
10000129,9,PA,0,12,g,54,0
10000130,7,OR,0,12,d,40,1
10000131,5,MS,1,8,d,47,0
10000132,3,WI,0,10,e,24,1
10000133,6,MO,0,2,h,25,0
10000134,10,CT,0,7,f,42,0
10000135,9,AR,0,7,d,20,0
10000136,6,PA,0,15,e,46,0
10000137,9,MT,1,22,e,43,1
10000138,9,MD,0,2,e,58,1
10000139,6,PA,0,1,d,32,0
10000141,8,FL,1,1,g,63,1
10000143,7,MO,1,15,d,44,0
10000144,7,OH,1,9,e,75,0
10000145,6,PA,0,6,e,62,0
10000147,7,CT,1,6,e,28,0
10000148,9,KY,1,12,e,35,1
10000150,8,NY,1,5,f,74,1
10000151,9,IN,1,14,e,75,0
10000152,6,IN,0,17,d,25,0
10000154,8,RI,1,10,f,45,0
10000155,5,NY,0,3,f,65,0
10000156,5,PA,0,7,e,21,0
10000158,8,MS,0,9,g,22,0
10000159,8,NV,0,7,d,22,0
10000160,9,WA,1,4,f,45,0
10000161,6,PA,0,13,d,21,0
10000162,5,NY,1,1,g,33,0
10000163,9,PA,1,9,e,54,0
10000164,4,NY,1,6,d,52,0
10000165,6,TN,1,16,e,55,1
10000167,7,IN,0,9,g,23,0
10000168,8,OH,0,12,g,38,0
10000169,8,WA,1,7,f,67,0
10000170,9,FL,1,4,e,56,0
10000172,7,KS,0,13,f,26,0
10000173,9,MD,0,4,g,21,0
10000176,7,FL,0,18,d,61,0
10000178,9,CT,0,8,f,22,0
10000179,6,TN,0,11,f,31,0
10000180,3,FL,0,9,f,49,0
10000182,7,WY,1,5,f,42,0
10000183,11,FL,0,3,e,57,0
10000184,5,FL,1,8,d,64,0
10000187,9,CO,0,6,d,27,0
10000188,7,AL,0,2,h,64,1
10000189,10,MO,0,7,d,18,0
10000190,8,NM,1,12,g,63,0
10000191,10,FL,1,2,f,75,1
10000192,6,NV,0,7,d,20,0
